"C25095_001E","C25095_001M","C25095_002E","C25095_002M","C25095_003E","C25095_003M","C25095_004E","C25095_004M","C25095_005E","C25095_005M","C25095_006E","C25095_006M","C25095_007E","C25095_007M","C25095_008E","C25095_008M","C25095_009E","C25095_009M","C25095_010E","C25095_010M","C25095_011E","C25095_011M","C25095_012E","C25095_012M","C25095_013E","C25095_013M","C25095_014E","C25095_014M","C25095_015E","C25095_015M","C25095_016E","C25095_016M","C25095_017E","C25095_017M","C25095_018E","C25095_018M","C25095_019E","C25095_019M","C25095_020E","C25095_020M","C25095_021E","C25095_021M","C25095_022E","C25095_022M","C25095_023E","C25095_023M","C25095_024E","C25095_024M","C25095_025E","C25095_025M","C25095_026E","C25095_026M","C25095_027E","C25095_027M","C25095_028E","C25095_028M","C25095_029E","C25095_029M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!Less than $10,000!!Less than 30.0 percent","Margin of Error!!Total!!Less than $10,000!!Less than 30.0 percent","Estimate!!Total!!Less than $10,000!!30.0 percent or more","Margin of Error!!Total!!Less than $10,000!!30.0 percent or more","Estimate!!Total!!Less than $10,000!!Not computed","Margin of Error!!Total!!Less than $10,000!!Not computed","Estimate!!Total!!$10,000 to $19,999","Margin of Error!!Total!!$10,000 to $19,999","Estimate!!Total!!$10,000 to $19,999!!Less than 30.0 percent","Margin of Error!!Total!!$10,000 to $19,999!!Less than 30.0 percent","Estimate!!Total!!$10,000 to $19,999!!30.0 percent or more","Margin of Error!!Total!!$10,000 to $19,999!!30.0 percent or more","Estimate!!Total!!$10,000 to $19,999!!Not computed","Margin of Error!!Total!!$10,000 to $19,999!!Not computed","Estimate!!Total!!$20,000 to $34,999","Margin of Error!!Total!!$20,000 to $34,999","Estimate!!Total!!$20,000 to $34,999!!Less than 30.0 percent","Margin of Error!!Total!!$20,000 to $34,999!!Less than 30.0 percent","Estimate!!Total!!$20,000 to $34,999!!30.0 percent or more","Margin of Error!!Total!!$20,000 to $34,999!!30.0 percent or more","Estimate!!Total!!$20,000 to $34,999!!Not computed","Margin of Error!!Total!!$20,000 to $34,999!!Not computed","Estimate!!Total!!$35,000 to $49,999","Margin of Error!!Total!!$35,000 to $49,999","Estimate!!Total!!$35,000 to $49,999!!Less than 30.0 percent","Margin of Error!!Total!!$35,000 to $49,999!!Less than 30.0 percent","Estimate!!Total!!$35,000 to $49,999!!30.0 percent or more","Margin of Error!!Total!!$35,000 to $49,999!!30.0 percent or more","Estimate!!Total!!$35,000 to $49,999!!Not computed","Margin of Error!!Total!!$35,000 to $49,999!!Not computed","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!Less than 30.0 percent","Margin of Error!!Total!!$50,000 to $74,999!!Less than 30.0 percent","Estimate!!Total!!$50,000 to $74,999!!30.0 percent or more","Margin of Error!!Total!!$50,000 to $74,999!!30.0 percent or more","Estimate!!Total!!$50,000 to $74,999!!Not computed","Margin of Error!!Total!!$50,000 to $74,999!!Not computed","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$75,000 to $99,999!!Less than 30.0 percent","Margin of Error!!Total!!$75,000 to $99,999!!Less than 30.0 percent","Estimate!!Total!!$75,000 to $99,999!!30.0 percent or more","Margin of Error!!Total!!$75,000 to $99,999!!30.0 percent or more","Estimate!!Total!!$75,000 to $99,999!!Not computed","Margin of Error!!Total!!$75,000 to $99,999!!Not computed","Estimate!!Total!!$100,000 or more","Margin of Error!!Total!!$100,000 or more","Estimate!!Total!!$100,000 or more!!Less than 30.0 percent","Margin of Error!!Total!!$100,000 or more!!Less than 30.0 percent","Estimate!!Total!!$100,000 or more!!30.0 percent or more","Margin of Error!!Total!!$100,000 or more!!30.0 percent or more","Estimate!!Total!!$100,000 or more!!Not computed","Margin of Error!!Total!!$100,000 or more!!Not computed","id","Geographic Area Name"
"338","85","26","18","8","13","18","19","0","12","57","40","33","30","24","26","0","12","56","40","13","20","43","37","0","12","26","25","11","16","15","17","0","12","66","53","66","53","0","12","0","12","45","35","45","35","0","12","0","12","62","44","62","44","0","12","0","12","1500000US370010201001","Block Group 1, Census Tract 201, Alamance County, North Carolina"
"501","96","10","15","0","12","0","12","10","15","41","37","12","18","29","32","0","12","21","23","13","19","8","13","0","12","60","36","50","40","10","15","0","12","123","61","113","58","10","16","0","12","135","50","121","49","14","20","0","12","111","53","90","47","21","23","0","12","1500000US370010201002","Block Group 2, Census Tract 201, Alamance County, North Carolina"
"35","34","11","17","0","12","11","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","28","24","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010201003","Block Group 3, Census Tract 201, Alamance County, North Carolina"
"12","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","14","12","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010201004","Block Group 4, Census Tract 201, Alamance County, North Carolina"
"211","95","21","24","0","12","11","17","10","16","0","12","0","12","0","12","0","12","168","96","52","48","116","91","0","12","8","15","8","15","0","12","0","12","5","8","5","8","0","12","0","12","0","12","0","12","0","12","0","12","9","15","9","15","0","12","0","12","1500000US370010202001","Block Group 1, Census Tract 202, Alamance County, North Carolina"
"99","69","0","12","0","12","0","12","0","12","14","23","0","12","14","23","0","12","12","19","12","19","0","12","0","12","23","28","23","28","0","12","0","12","46","55","46","55","0","12","0","12","0","12","0","12","0","12","0","12","4","14","4","14","0","12","0","12","1500000US370010202002","Block Group 2, Census Tract 202, Alamance County, North Carolina"
"173","80","8","13","0","12","0","12","8","13","79","64","63","62","16","20","0","12","44","49","44","49","0","12","0","12","20","29","20","29","0","12","0","12","0","12","0","12","0","12","0","12","13","21","13","21","0","12","0","12","9","16","9","16","0","12","0","12","1500000US370010202003","Block Group 3, Census Tract 202, Alamance County, North Carolina"
"299","102","0","12","0","12","0","12","0","12","25","27","12","18","13","20","0","12","29","26","21","24","8","13","0","12","45","52","45","52","0","12","0","12","111","75","98","73","13","19","0","12","89","74","89","74","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010202004","Block Group 4, Census Tract 202, Alamance County, North Carolina"
"214","96","24","28","0","12","11","18","13","22","11","16","0","12","11","16","0","12","102","84","84","79","18","27","0","12","50","27","50","27","0","12","0","12","1","10","1","10","0","12","0","12","26","29","26","29","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010203001","Block Group 1, Census Tract 203, Alamance County, North Carolina"
"85","55","5","10","0","12","5","10","0","12","12","19","0","12","12","19","0","12","18","29","0","12","18","29","0","12","17","28","0","12","17","28","0","12","10","17","10","17","0","12","0","12","0","12","0","12","0","12","0","12","23","34","23","34","0","12","0","12","1500000US370010203002","Block Group 2, Census Tract 203, Alamance County, North Carolina"
"409","114","14","23","0","12","0","12","14","23","0","12","0","12","0","12","0","12","164","89","149","94","15","23","0","12","109","73","74","74","35","56","0","12","57","58","57","58","0","12","0","12","12","19","12","19","0","12","0","12","53","59","53","59","0","12","0","12","1500000US370010203003","Block Group 3, Census Tract 203, Alamance County, North Carolina"
