"GEO_ID","P018001","P018002","P018003","P018004","P018005","P018006","P018007","P018008","P018009","NAME"
"id","Total","Total!!Family households","Total!!Family households!!Husband-wife family","Total!!Family households!!Other family","Total!!Family households!!Other family!!Male householder, no wife present","Total!!Family households!!Other family!!Female householder, no husband present","Total!!Nonfamily households","Total!!Nonfamily households!!Householder living alone","Total!!Nonfamily households!!Householder not living alone","Geographic Area Name"
"1000000US370630001011000","34","19","7","12","3","9","15","10","5","Block 1000, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011001","18","12","8","4","1","3","6","4","2","Block 1001, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011002","15","7","3","4","2","2","8","5","3","Block 1002, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011003","10","10","5","5","1","4","0","0","0","Block 1003, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011004","17","8","6","2","1","1","9","4","5","Block 1004, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011005","25","10","2","8","4","4","15","10","5","Block 1005, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011006","27","15","6","9","2","7","12","4","8","Block 1006, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011007","22","7","4","3","0","3","15","12","3","Block 1007, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011008","14","5","4","1","0","1","9","9","0","Block 1008, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011009","25","12","8","4","2","2","13","11","2","Block 1009, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011010","35","17","11","6","1","5","18","14","4","Block 1010, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011011","16","8","5","3","1","2","8","6","2","Block 1011, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011012","18","11","8","3","0","3","7","5","2","Block 1012, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011013","15","7","3","4","1","3","8","8","0","Block 1013, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011014","14","8","6","2","1","1","6","4","2","Block 1014, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011015","23","12","5","7","0","7","11","8","3","Block 1015, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011016","18","8","3","5","1","4","10","9","1","Block 1016, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011017","29","11","6","5","0","5","18","15","3","Block 1017, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011018","20","10","6","4","1","3","10","8","2","Block 1018, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011019","9","2","2","0","0","0","7","5","2","Block 1019, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011020","16","9","5","4","1","3","7","7","0","Block 1020, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011021","24","16","10","6","0","6","8","7","1","Block 1021, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011022","16","11","7","4","1","3","5","0","5","Block 1022, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011023","17","9","5","4","1","3","8","6","2","Block 1023, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011024","22","10","5","5","0","5","12","10","2","Block 1024, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011025","12","10","2","8","3","5","2","2","0","Block 1025, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011026","14","10","10","0","0","0","4","3","1","Block 1026, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011027","0","0","0","0","0","0","0","0","0","Block 1027, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011028","0","0","0","0","0","0","0","0","0","Block 1028, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011029","0","0","0","0","0","0","0","0","0","Block 1029, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011030","0","0","0","0","0","0","0","0","0","Block 1030, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011031","0","0","0","0","0","0","0","0","0","Block 1031, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011032","0","0","0","0","0","0","0","0","0","Block 1032, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011033","0","0","0","0","0","0","0","0","0","Block 1033, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001012000","318","240","95","145","16","129","78","70","8","Block 2000, Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001012001","72","50","30","20","1","19","22","17","5","Block 2001, Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001012002","8","4","3","1","1","0","4","3","1","Block 2002, Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001012003","20","14","9","5","1","4","6","5","1","Block 2003, Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001012004","19","15","5","10","0","10","4","4","0","Block 2004, Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001012005","5","5","4","1","1","0","0","0","0","Block 2005, Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001012006","27","21","9","12","1","11","6","6","0","Block 2006, Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001012007","17","12","8","4","0","4","5","4","1","Block 2007, Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001012008","16","11","7","4","1","3","5","3","2","Block 2008, Block Group 2, Census Tract 1.01, Durham County, North Carolina"
